Company,Location,Country,Date,Year,Rocket,Mission,RocketStatus,Price,MissionStatus
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,8/30/1961,1961,Thor DM-21 Agena-B,Discoverer 29,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,9/9/1961,1961,Atlas-LV3 Agena-B,Samos 3,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,9/12/1961,1961,Thor DM-21 Agena-B,Discoverer 30,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,9/13/1961,1961,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,0,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",USA,9/17/1961,1961,Thor DM-21 Agena-B,Discoverer 31,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,10/13/1961,1961,Thor DM-21 Agena-B,Discoverer 32,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,10/21/1961,1961,Atlas-LV3 Agena-B,Midas 4,Retired,0,Partial Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,10/23/1961,1961,Thor DM-21 Agena-B,Discoverer 33,Retired,0,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Russia,10/27/1961,1961,Cosmos-2I (63S1),DS-1 1,Retired,0,Failure
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",USA,11/1/1961,1961,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",USA,11/5/1961,1961,Thor DM-21 Agena-B,Discoverer 34,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,11/15/1961,1961,Thor DM-21 Agena-B,Discoverer 35,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,11/15/1961,1961,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",USA,11/18/1961,1961,Atlas-LV3 Agena-B,Ranger 2,Retired,0,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,11/22/1961,1961,Atlas-LV3 Agena-B,Samos 4,Retired,0,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,11/29/1961,1961,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/11/1961,1961,Vostok,Zenit-2 n†­1,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,12/12/1961,1961,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Russia,12/21/1961,1961,Cosmos-2I (63S1),DS-1 2,Retired,0,Failure
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,12/22/1961,1961,Atlas-LV3 Agena-B,Samos 5,Retired,0,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,1/13/1962,1962,Thor DM-21 Agena-B,Discoverer 37,Retired,0,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,1/24/1962,1962,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,0,Failure
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",USA,1/26/1962,1962,Atlas-LV3 Agena-B,Ranger 3,Retired,0,Partial Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,2/8/1962,1962,Thor DM-19 Delta,TIROS-4,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,2/20/1962,1962,Atlas-D Mercury,Friendship 7 (MA-6),Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,2/21/1962,1962,Thor DM-21 Agena-B,FTV 2301,Retired,0,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,2/27/1962,1962,Thor DM-21 Agena-B,Discoverer 38,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,3/7/1962,1962,Thor DM-19 Delta,OSO-1,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,3/7/1962,1962,Atlas-LV3 Agena-B,Samos 6,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Russia,3/16/1962,1962,Cosmos-2I (63S1),Cosmos 1,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Russia,4/6/1962,1962,Cosmos-2I (63S1),Cosmos 2,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,4/9/1962,1962,Atlas-LV3 Agena-B,Midas 5,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,4/18/1962,1962,Thor DM-21 Agena-B,Discoverer 39,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",USA,4/23/1962,1962,Atlas-LV3 Agena-B,Ranger 4,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Russia,4/24/1962,1962,Cosmos-2I (63S1),Cosmos 3,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/26/1962,1962,Vostok,Cosmos 4,Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",USA,4/26/1962,1962,Scout X-2,Solrad 4B,Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,4/26/1962,1962,Thor DM-19 Delta,Ariel 1,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,4/26/1962,1962,Atlas-LV3 Agena-B,Samos 7,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,4/29/1962,1962,Thor DM-21 Agena-B,FTV 1125,Retired,0,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,5/8/1962,1962,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,0,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,5/10/1962,1962,Thor-DM21 Ablestar,ANNA 1A,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,5/15/1962,1962,Thor DM-21 Agena-B,FTV 1126,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,5/24/1962,1962,Atlas-D Mercury,Aurora 7 (MA-7),Retired,0,Success
US Air Force,"SLC-5, Vandenberg AFB, California, USA",USA,5/24/1962,1962,Scout X-2M,DSAP-1 F1 (Program 35),Retired,0,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Russia,5/28/1962,1962,Cosmos-2I (63S1),Cosmos 5,Retired,0,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",USA,5/30/1962,1962,Thor DM-21 Agena-B,FTV 1128,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,6/1/1962,1962,Vostok-2,Zenit-2 n†­3,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,6/2/1962,1962,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,6/17/1962,1962,Atlas-LV3 Agena-B,Samos 8,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,6/18/1962,1962,Thor DM-21 Agena-B,FTV 2312,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,6/19/1962,1962,Thor DM-19 Delta,TIROS-5,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,6/23/1962,1962,Thor DM-21 Agena-B,FTV 1129,Retired,0,Success
